,fval,BRAF_0,CBL_0,CRAF_0,DUSP_eq,EGFR_eq,ERK_0,GRB2_0,MEK_0,RAS_0,SOS1_0,SPRY_eq,bind_AZ_628_RAF_dG,bind_AZ_628_RAF_kf,bind_AZ_628_RAF_phi,bind_Binimetinib_MEK_dG,bind_Binimetinib_MEK_kf,bind_Binimetinib_MEK_phi,bind_CBL_GRB2_dG,bind_CBL_GRB2_kf,bind_CBL_GRB2_phi,bind_Cobimetinib_MEK_dG,bind_Cobimetinib_MEK_kf,bind_Cobimetinib_MEK_phi,bind_DUSP_pERK_dG,bind_DUSP_pERK_kf,bind_DUSP_pERK_phi,bind_Dabrafenib_RAF_dG,bind_Dabrafenib_RAF_kf,bind_Dabrafenib_RAF_phi,bind_EGFR_EGFR_dG,bind_EGFR_EGFR_kf,bind_EGFR_EGFR_phi,bind_EGF_EGFR_dG,bind_EGF_EGFR_kf,bind_EGF_EGFR_phi,bind_GRB2_SOS1_dG,bind_GRB2_SOS1_kf,bind_GRB2_SOS1_phi,bind_LY3009120_RAF_dG,bind_LY3009120_RAF_kf,bind_LY3009120_RAF_phi,bind_MEK_uERK_dG,bind_MEK_uERK_kf,bind_MEK_uERK_phi,bind_PD0325901_MEK_dG,bind_PD0325901_MEK_kf,bind_PD0325901_MEK_phi,bind_PLX8394_RAF_dG,bind_PLX8394_RAF_kf,bind_PLX8394_RAF_phi,bind_RAF_RAF_dG,bind_RAF_RAF_kf,bind_RAF_RAF_phi,bind_RAF_uMEK_dG,bind_RAF_uMEK_kf,bind_RAF_uMEK_phi,bind_RASgtp_RAF_dG,bind_RASgtp_RAF_kf,bind_RASgtp_RAF_phi,bind_SOS1_RAS_dG,bind_SOS1_RAS_kf,bind_SPRY_GRB2_dG,bind_SPRY_GRB2_kf,bind_SPRY_GRB2_phi,bind_Selumetinib_MEK_dG,bind_Selumetinib_MEK_kf,bind_Selumetinib_MEK_phi,bind_Trametinib_MEK_dG,bind_Trametinib_MEK_kf,bind_Trametinib_MEK_phi,bind_Vemurafenib_RAF_dG,bind_Vemurafenib_RAF_kf,bind_Vemurafenib_RAF_phi,bind_pEGFR_GRB2_dG,bind_pEGFR_GRB2_kf,bind_pEGFR_GRB2_phi,catalyze_CBL_EGFR_ub_kcat,catalyze_DUSP_ERK_u_kcatr,catalyze_EGFR_EGFR_p_kcat,catalyze_EGFR_deg_kM,catalyze_EGFR_deg_kcat,catalyze_EGFR_dub_kcatr,catalyze_EGFR_endo_kcat,catalyze_EGFR_recycl_kcat,catalyze_EGFR_u_kcatr,catalyze_MEKmekiNone_phosphop_ERK_p_kcat,catalyze_NF1_RAS_gdp_kcatr,catalyze_PP2A_MEK_u_kcatr,catalyze_RAF_RAFrafiNone_MEK_p_kcat,catalyze_RAFrafiNone_MEKmekiNone_p_kcat,catalyze_RAFrafiNone_MEKmeki_Binimetinib_p_kcatr,catalyze_RAFrafiNone_MEKmeki_Cobimetinib_p_kcatr,catalyze_RAFrafiNone_MEKmeki_PD0325901_p_kcatr,catalyze_RAFrafiNone_MEKmeki_Selumetinib_p_kcatr,catalyze_RAFrafiNone_MEKmeki_Trametinib_p_kcatr,catalyze_SOS1_RAS_gtp_kcat,catalyze_pERK_BRAF_pT753_kcat,catalyze_pERK_CRAF_pS642_kcat,catalyze_pERK_SOS1_pS1134_kbase,catalyze_pERK_SOS1_pS1134_kcat,catalyze_phosphatase_BRAF_uT753_kcatr,catalyze_phosphatase_CRAF_uS642_kcatr,catalyze_phosphatase_SOS1_uS1134_kcatr,ep_EGFR_EGFR_mod_EGF_single_ddG,ep_RAF_RAF_mod_Dabrafenib_double_ddG,ep_RAF_RAF_mod_Dabrafenib_single_ddG,ep_RAF_RAF_mod_PLX8394_double_ddG,ep_RAF_RAF_mod_PLX8394_single_ddG,ep_RAF_RAF_mod_RASgtp_double_ddG,ep_RAF_RAF_mod_Vemurafenib_double_ddG,ep_RAF_RAF_mod_Vemurafenib_single_ddG,ep_RAF_RAF_mod_pRAF_ddG,ep_RAF_RAS_mod_pRAF_ddG,ep_SOS1S1134p_GRB2_ddG,ep_pMEK_Binimetinib_ddG,ep_pMEK_Cobimetinib_ddG,ep_pMEK_PD0325901_ddG,ep_pMEK_Selumetinib_ddG,ep_pMEK_Trametinib_ddG,mDUSP_eq,mEGFR_eq,mSPRY_eq,msynthesize_pERK_DUSP_kdeg,msynthesize_pERK_EGFR_kdeg,msynthesize_pERK_SPRY_kdeg,pERK_IF_offset,pERK_IF_scale,pMEK_IF_offset,pMEK_IF_scale,psynthesize_pERK_DUSP_kdeg,psynthesize_pERK_EGFR_kdeg,psynthesize_pERK_SPRY_kdeg,synthesize_pERK_DUSP_ERK_gexpslope,synthesize_pERK_DUSP_ERK_kM,synthesize_pERK_EGFR_ERK_gexpslope,synthesize_pERK_EGFR_ERK_kM,synthesize_pERK_SPRY_ERK_gexpslope,synthesize_pERK_SPRY_ERK_kM
0,-469.9858875,1116.086399,16903.4669,13103.6485,7352.359037,9001.299742,137676.373,47331.60236,136106.2195,102196.4789,6469.710294,12329.98165,-3.599522759,0.01002786772,0,-4.128101723,134.0143894,0,-2.755102122,6745988.451,0,-4.636543034,1064.378421,0,-14.14536187,607209.1273,0,-6.428215786,1062.574414,0,-3.668939295,182112.6738,0,-7.666702427,2479887.471,0,-5.308794245,30385.86557,0,-5.270134594,0.01000795766,0,-1.439294887,24232.18371,0,-5.694858971,731.9884873,0,-5.352446464,9999.379507,0,3.761409035,251.7095307,0,-4.524902168,1168.021645,0,-3.981445717,58472.33648,0,-5.438518112,374481.4397,-6.172516125,4995.107503,0,-4.548299371,8719.074983,0,-5.09923612,1.2403309,0,-3.83427708,1.443137368,0,-4.689711271,39410.06295,0,31018.87449,0.007278929156,72500.58119,0.5548454418,280.291665,0.001804683427,3047.221651,1386.339544,0.0003537458647,23078.75093,0.002066842312,0.006133115358,11702.95775,422.1008666,0.1463931771,0.006221327762,0.07765770794,0.1353681,8.33E-06,19256.02618,70.08648221,16476.18808,5.366631623,1145.97751,0.002983929351,0.001195960735,0.04876084113,-6.479352379,7.132902031,-10.8403706,11.51215821,0,-22.99430706,10.57110215,-10.73660459,5.257714537,-0.748325677,4.71192493,3.880554001,1.643449189,4.033181478,3.791908217,5.480331373,264.3976387,18.48804947,14.92837669,1.279092239,0.2702043631,1.386238373,0.0810482306,1.90056267,0.09696164123,51.61451033,0.3162473674,0.2018498015,0.3043277166,27.8565738,0.2505241911,3.098266577,0.05031593189,1457.524216,1.132478962
1,-401.9107581,1134.747959,15410.43718,12151.01345,2772.531174,13388.72823,178647.91,66829.82717,102936.171,112508.4268,6512.7877,5612.533807,-4.050987767,0.01000025276,0,-4.051424035,72.63210378,0,-7.825197204,8437198.571,0,-5.458070737,264.2160127,0,-7.637854316,540722.905,0,-6.892268624,645.3264628,0,-8.930703956,2319187.158,0,-9.181272274,6314153.496,0,-6.719287967,12182.29742,0,-5.652032396,0.01152310935,0,-5.863130487,510230.4335,0,-6.018355408,146.8250229,0,-5.649175251,245.03073,0,3.297864762,578.8403955,0,-2.862579285,136.3946706,0,-7.406731564,214153.9448,0,-4.179564649,2017623.55,-5.540491156,153.305053,0,-3.792427433,35.98369416,0,-6.56516506,18.58248382,0,-3.803311549,1.684383299,0,-3.659822121,4680.369441,0,1400.055452,0.1219147972,46331.91418,0.08854936687,865.3736352,0.0002367724903,1031.980905,442.8886879,0.001282508346,5942.348941,0.006179937756,0.003371335375,1963.162563,840.6736107,0.004360077027,4.72E-06,0.003549687473,0.003785997977,1.00E-06,7349.163746,2920.15193,13.77037552,2.065333141,770.9213105,0.005259544473,0.01161585902,0.06119088504,-9.741914415,11.51291261,-7.935002738,11.50957519,0,-23.02528768,6.655871035,-9.561626063,5.779874266,2.281994331,8.624611626,3.083296236,1.834081878,3.685496032,3.65115164,4.07979419,101.1110025,28.6937681,8.760060619,0.9389347686,0.6108348882,1.384191658,0.08402731619,2.226311145,0.09999970016,26.47547222,0.5785866605,0.3535682666,0.09027383687,104.073704,1.247080246,137.5853612,7.768597367,20742.96793,3.37211084
2,-338.2908192,1126.306318,16809.01594,15093.26606,2419.199977,13938.22582,178234.9732,44056.79521,105780.0011,274180.7092,5869.231992,22587.42122,-4.077205468,17.56649022,0,-3.600461684,505.96637,0,-3.685489835,6315390.234,0,-4.266830167,1.010079906,0,-10.91075757,596954.8704,0,-6.862178655,1129.148341,0,-5.774967415,62218.76977,0,-9.002929119,9236775.21,0,-5.49060696,500616.0522,0,-5.678799984,0.01079056487,0,-6.686482257,806191.9817,0,-5.260850617,123.9761307,0,-5.849186434,2279.487969,0,4.058472487,250.1089415,0,-4.22119299,658.0051973,0,-6.680486822,113644.205,0,-6.426734031,197438.8683,-5.222875152,3481.997426,0,-3.233377524,95.54637399,0,-6.166245929,18.44641796,0,-4.060908535,335.5225972,0,-4.18993014,881386.3886,0,29504.74489,0.07073987763,83759.86475,1.096217296,22.44384108,0.009407608383,3692.376447,789.1493085,0.0001200372056,6902.417284,0.0262536757,0.001643397996,29378.68279,3215.04886,0.0008141351622,4.06E-05,0.003089260702,0.002869988839,0.001983462039,2506.208248,711.7265359,378.4508623,0.134565217,116.5530808,0.0190557635,0.03009149692,0.04395248867,-9.338332032,11.27742485,-5.25325625,11.50151078,0,-22.70348223,2.132392723,-7.646984475,5.723705874,2.206984428,3.306110019,2.534701642,4.150062254,3.266008229,3.059893403,3.629909683,81.18401756,29.25458269,22.48470913,0.7307962363,0.6471688793,1.386427415,0.08718761297,2.24576088,0.09999981972,39.44846766,0.4325454926,0.146184887,0.1297483977,97.87008837,0.7986953382,6.935945626,0.03093131817,6076.220429,3.816638293
3,-320.2731642,1144.237082,16473.08995,12015.17577,5836.853525,25353.88391,187996.9296,54553.87564,113060.7753,340664.176,5747.369805,29136.19147,-4.070858655,0.0100003607,0,-3.550098784,82.90385466,0,-3.692864151,742.5908043,0,-4.481066366,0.7714869963,0,-15.26418023,280264.0597,0,-7.021462015,775.760475,0,-4.491158849,71011.19955,0,-8.720937303,9529357.757,0,-8.324394247,4891.307505,0,-5.680909352,0.01303457235,0,-6.179039683,391255.927,0,-5.320171081,187.7327736,0,-5.704464756,71.00499787,0,3.112350943,242.6943683,0,-4.208280465,99.97582415,0,-9.197660572,272635.6271,0,-7.891070689,95173.14042,-5.337579837,117.2893049,0,-3.190005355,37.06427455,0,-6.332105976,11.08370105,0,-3.857066606,2.983908682,0,-3.130727391,5951622.69,0,9882.632407,0.08239544097,19091.30711,0.005731766751,93.27267559,0.003152594206,235.9256382,345.9266918,0.0006438690684,8684.146961,0.0210736026,0.001200622767,4990.360107,154.6374669,0.0006663189953,0.0009645848132,0.004599508014,0.002220275708,0.007427753109,2071.525045,21938.84428,11.04386829,3.406793606,399.890053,0.005268136225,0.0084884387,0.07314755642,-10.147027,11.3958489,-7.41257219,11.49199591,0,-22.99963248,7.002679842,-8.892060487,4.968619188,4.392704735,8.796140417,2.674833563,4.969382508,3.017466972,3.14518701,4.283803506,189.3756,57.71691092,38.80749174,1.227463889,0.5426230402,1.355890054,0.07643871661,2.66567774,0.09988490049,34.83338576,0.4595974392,0.1311681002,0.03912212593,128.8859109,1.653238136,7.309635933,0.1946379659,5473.025324,1.50047297
4,-319.2407876,1218.129271,15566.11321,6773.190303,2683.75244,31763.76591,144304.115,70093.24549,116546.1688,131325.2338,5526.03584,56394.67387,-4.37904448,1.612545891,0,-4.343381575,47.94489763,0,-8.899095462,272756.1671,0,-6.182728184,612.0398211,0,-8.009001767,197793.7346,0,-7.1538401,651.6100017,0,-2.051223688,5078337.553,0,-6.414211959,1070486.198,0,-6.339156114,3345.908285,0,-5.990979748,0.01101887764,0,-6.611367365,1340303.761,0,-6.490953591,103.7169339,0,-5.837775221,30.81139394,0,-0.5286760914,8474.421036,0,-2.365322294,74.80462513,0,-6.166131574,252665.3298,0,-2.446979373,170869.1717,-7.968459436,22.28431452,0,-4.15463205,21.2722554,0,-6.94396087,138.2022312,0,-4.090939462,5.919100961,0,-6.334830642,4304354.768,0,1631.216294,0.09670139645,26792.53639,0.0154135256,441.5724248,0.0006239335792,96.35019987,10.79086037,0.000103917458,3558.356162,0.008740248054,0.001744022115,2062.819986,171.5148133,0.007169030506,1.17E-06,0.007239038511,0.006810062766,1.83E-06,10248.5093,117.2038039,11.25767126,0.3296266118,260.635048,0.0001903174308,0.0275066324,0.0631997492,-7.088098819,10.63209128,-5.831567883,11.21522579,0,-23.00756904,6.180548246,-7.534442626,5.303048382,1.521077781,3.713016166,3.407242079,2.298332132,4.262812551,4.05319824,2.685397044,81.78667251,64.07324436,112.2655375,1.379906393,1.025466375,1.776355668,0.08377766278,2.253692422,0.0999990327,25.8326015,1.338367935,0.2430779144,0.07099890826,379.710726,5.299831332,20.03121263,0.6953684115,985.9006678,1.037800361
5,-302.4277772,1132.411796,16610.60884,14351.35186,6098.10047,34029.90477,165524.9623,24821.31282,96133.14074,277484.1571,6225.287716,10076.59572,-3.898207507,30.7176368,0,-4.161977068,86.77326,0,-5.860926871,5952.027819,0,-5.572979089,687.3713324,0,-10.0042027,247863.3676,0,-6.644133707,9631.359226,0,-7.373281401,5666123.23,0,-9.015574951,7103474.375,0,-5.595855367,10490.97483,0,-5.524058435,0.01466943829,0,-8.203277165,296823.066,0,-6.238202936,191.7293096,0,-5.3575933,9962.729223,0,4.750831196,108.3142829,0,-3.594222707,2255.904336,0,-3.431863518,175307.1116,0,-4.473313827,41604.63255,-7.504424483,77.81975754,0,-4.178111897,31.2519144,0,-6.613134777,210.7446914,0,-3.669654495,1.624184389,0,-8.654589227,1427863.091,0,10.17462971,0.1163964338,49339.39861,0.003015165956,59.36397523,0.001094454248,67772.95779,937.6699423,0.0001002219851,7840.973283,0.04308401212,0.004436629344,11793.71268,225.0993363,0.1353605313,0.01385854308,0.1005856843,0.133047399,3.40E-05,991.66822,14.79712747,2218.250115,5.200377279,445.4853252,0.01558379457,0.001253850427,0.0518230677,-11.26481992,5.156137853,-9.825802789,11.50639097,0,-20.51334989,7.367010442,-9.821841248,3.976860626,-3.290458091,8.993135749,3.607880346,2.328557803,4.43725894,4.534418889,3.323773969,270.1144084,37.26218145,10.62683036,0.8073139794,0.7252188573,1.700608187,0.07035305736,3.495984289,0.09969658923,34.46351091,0.1793185866,0.2959165753,0.7873943897,140.770825,0.9917728308,3.357705706,0.06358849687,1662.570897,1.494082261
6,-279.9719043,1219.978646,16704.21364,18785.65433,1592.794791,24424.22261,91445.18308,53904.26344,145394.467,333611.4039,6168.392726,45753.88183,-4.308939171,8.2141969,0,-3.612918126,55.42307633,0,-5.348470349,8557.336683,0,-5.150135816,369.7437089,0,-15.6820977,2510636.861,0,-7.172952565,4331.20666,0,-8.884722692,2353611.424,0,-0.7021196299,5901628.138,0,-8.767726562,335.2226417,0,-5.951078793,0.01000645265,0,-6.787007606,315692.9878,0,-6.087772785,9229.057437,0,-5.916195173,1353.021127,0,1.542078674,2616.175845,0,-3.311053282,626.9136978,0,-7.666333479,1539883.639,0,-6.566266599,89301.28565,-6.868396843,223.5556616,0,-3.905524809,1009.542508,0,-6.292884552,76.92367193,0,-3.997147044,7.813741472,0,-3.595509975,4620723.162,0,30757.09481,0.1641534236,84664.56562,0.01291242307,144.2178859,0.0005154155128,9926.239896,883.4157873,0.0003495769595,7013.324954,0.006037693453,0.001442651242,1297.86753,5501.60184,0.001464834804,2.67E-05,0.0005070268173,0.0003671612938,7.51E-05,6781.342048,26.45816934,26.00725304,0.02004039084,10.97167187,0.0003117060665,0.007487588756,0.0284888124,-11.19092801,11.23800021,-6.593586969,11.06583065,0,-22.63806468,6.099484079,-8.49347529,5.870492456,2.129596746,7.817735222,2.783870117,1.559487639,2.242316718,2.345520433,2.607667578,62.42906151,59.03021274,62.86296943,2.250621676,0.5808822668,1.642655832,0.0833041393,2.101350594,0.09996541161,2.410925166,2.730438128,0.1407519132,0.05000260091,381.2655745,3.448645533,408.5922196,8.422997581,5839.830033,1.79245668
7,-251.3416018,1109.783803,16760.66096,15624.55626,4811.631996,3952.086666,128560.0661,48354.58364,136885.4935,196801.329,6515.178232,12653.65747,-3.579481033,0.01000093625,0,-4.743960107,9985.175797,0,-8.714959889,14122.04025,0,-4.47059427,1.181763526,0,-15.70216354,353401.8415,0,-6.434388198,1525.439932,0,-7.724035209,5672532.338,0,-8.812914021,8860077.544,0,-6.58895168,7266.508539,0,-5.263567428,0.01000213906,0,-0.8457485628,43256.8529,0,-6.881696865,9989.023287,0,-2.738078349,2124.701494,0,-4.562818146,2.081125486,0,-4.114895472,51.99918393,0,-3.115828758,12821.66985,0,-2.730052886,58867.87905,-8.870146276,21.50126633,0,-4.719781709,9823.228735,0,-5.956912482,35.91786642,0,-4.274359778,1240.429211,0,-3.38565429,103932.7083,0,4630.967622,0.009678433076,1100.472415,0.0242150239,171.4494409,0.0001038368538,2013.357962,5047.488584,0.000123475362,93786.48,0.008583380695,1.37E-05,79554.21384,11.67801145,0.1899343052,0.01393694288,0.09649225399,0.1983634671,0.004864421612,24094.66798,66507.24508,21410.16945,0.4928546032,450.3471334,0.0002170608566,0.1610235108,0.04997213655,-10.27491956,11.51007672,-6.117073143,9.052282799,0,-12.13676024,0.8884773552,-4.126318486,8.956204608,7.084739476,6.889322107,3.016396132,2.52171568,4.089565052,3.530605423,2.488527187,165.6111476,8.707810305,16.80894842,1.908913836,0.1212905271,1.356456127,0.09934702013,1.97800052,0.09999289767,21.45316953,1.055753344,0.2342140005,0.5919170825,239.0146008,3.66709739,123.6204312,5.52649016,1786.166088,2.678159999
8,-200.187399,1163.371499,16389.46798,14461.57276,2623.433517,17621.6645,110460.5171,52458.21081,125776.6848,370573.2211,6298.857393,22963.50001,-4.204868264,0.01000555494,0,-3.954957649,80.32966929,0,-7.957610512,8106196.077,0,-4.618271434,1.355855969,0,-11.81884295,892183.0213,0,-7.153801011,620.4475843,0,-3.752375096,2736830.865,0,-7.453667835,7850377.61,0,-8.735334166,19641.53586,0,-5.812987522,0.01641687991,0,-3.390823543,1258591.017,0,-5.652656356,183.8683245,0,-5.670406944,25.97714362,0,3.077811705,109.7740369,0,-4.778815352,46.61116356,0,-7.495141579,513176.9275,0,-4.703637896,53628.03477,-8.26818231,9.656186518,0,-3.389163528,26.7868506,0,-6.22586669,420.6017247,0,-3.994425517,15.02444571,0,-2.262195368,825420.9676,0,10723.89294,0.02256056,74275.06334,0.06177602343,46.38810098,0.0003569168206,1684.577212,11.4715015,0.009095979096,60118.07544,0.01964785165,0.002461791121,1652.66675,58.71317851,0.004830817965,0.008149104658,0.01000928125,0.005479299334,1.09E-05,1820.55007,11387.71647,364.9545827,6.380682973,942.8795956,0.0004728074164,0.005068017623,0.05866628549,-8.819720403,9.569424049,-7.668133642,11.50419228,0,-21.92840571,1.751580771,-9.293807147,4.65719134,1.733371618,8.814140787,2.704431684,3.705123113,2.981753657,2.99648629,0.8886117666,84.59567244,39.18266222,28.58575604,1.032101418,0.5729706023,1.465579131,0.07460526068,2.051708827,0.08288534454,55.78943265,0.7406035813,0.21518949,0.05656134536,177.8763762,1.470467595,85.72895062,2.520209718,27077.00292,6.240104656
9,-195.0830354,1190.262429,16741.00529,7990.305759,2038.195783,20794.93767,180634.7941,38281.70727,117704.721,166614.6976,7509.375973,7979.789844,-4.062822954,0.01000189213,0,-3.252000878,74.31476603,0,-7.821142049,132354.7339,0,-4.073515473,2.839277987,0,-15.94256203,107286.893,0,-6.865754255,1343.676375,0,-6.969804485,8391317.191,0,-4.628869885,1175045.172,0,-3.909666978,18464.08698,0,-5.696965653,0.01000530432,0,-9.364034831,76081.33725,0,-5.182431149,165.5009818,0,-5.679617055,83.90297959,0,0.4068063214,2300.800381,0,-4.383847593,153.4209856,0,-4.257434065,3559.074086,0,-7.468516007,57170.64505,-8.115442253,1.224200444,0,-2.788815903,23.22157244,0,-6.167459517,146.2632921,0,-3.821636805,3.939164539,0,-9.180917912,26740.99673,0,7043.370598,0.07161279733,21806.11892,0.03382818447,971.0662789,0.02446081618,7530.048043,15.81092247,0.003455709653,5790.126232,0.008928155153,0.004276448211,1969.402989,249.5126115,0.002832149273,2.21E-06,0.007525012794,0.003482424862,0.009319822364,4083.592766,11.3618205,2955.907986,0.1603539035,5224.139196,0.0001057369347,0.04772716884,0.04358135047,-11.31400502,11.50942266,-8.680513806,11.5104236,0,-22.50043948,9.936182682,-8.07527239,5.33330091,-3.010106426,5.870467143,2.448101326,2.685534035,3.017191405,2.862392734,2.071082978,61.39902847,39.92488784,9.742883439,1.401798248,0.3884755422,1.657334313,0.06396049227,4.67238891,0.09996858971,29.88894881,1.32141326,0.1147404782,0.1325143982,49.61130804,0.2478111269,4.846934713,0.04123444724,6452.904532,0.7147191708
